Validation Rewards,External Rewards
271798.7636901625,-3469388.2599999816
268866.72223183606,-3471173.039999983
268864.22223183606,-3471309.3399999826
268994.51761738554,-3471338.099999983
269103.01761738554,-3470336.519999983
269695.51761738554,-3469807.2399999825
273103.0047210214,-3482921.5799999824
269241.5650559067,-3482188.319999982
268668.5650559067,-3485054.959999983
268668.5650559067,-3485054.959999983
272309.9431046872,-3485220.0599999833
272232.38212907745,-3485366.959999983
272232.38212907745,-3485366.959999983
272384.059075712,-3470397.159999982
272232.38212907745,-3485366.959999983
272232.38212907745,-3485366.959999983
268956.6945640201,-3470635.519999982
268799.6945640201,-3474968.6199999815
269055.51761738554,-3474193.1199999833
269055.51761738554,-3475209.9199999836
268799.6945640201,-3474968.6199999815
268799.6945640201,-3474968.6199999815
269167.51761738554,-3471637.119999984
269474.22223183606,-3468732.079999983
269474.22223183606,-3468732.079999983
269474.22223183606,-3468732.079999983
272274.059075712,-3474811.259999982
272274.059075712,-3474811.259999982
272274.059075712,-3474811.259999982
272274.059075712,-3474811.259999982
272478.2636901625,-3469590.379999982
272755.8862821065,-3470099.4399999822
273209.68166765594,-3470174.7799999816
272922.059075712,-3469709.6199999815
272230.059075712,-3470326.419999982
272274.059075712,-3474811.259999982
272122.38212907745,-3489781.059999983
272122.38212907745,-3489781.059999983
272122.38212907745,-3489781.059999983
272274.059075712,-3474811.259999982
272274.059075712,-3474811.259999982
272634.58674352797,-3468101.179999983
272316.58674352797,-3484195.4799999823
272316.58674352797,-3484195.4799999823
272468.2636901625,-3469634.279999982
272269.58674352797,-3484414.0799999824
269228.8991784706,-3469691.7599999816
269228.8991784706,-3469691.7599999816
272421.2636901625,-3469852.879999982
272708.8862821065,-3470318.0399999823
272533.8862821065,-3467501.299999981
272533.8862821065,-3467501.299999981
272857.5047210214,-3482374.4799999823
272382.20933547197,-3482062.499999983
272382.20933547197,-3482062.499999983
272094.58674352797,-3481597.3399999826
269228.8991784706,-3469691.7599999816
269521.6945640201,-3469839.4999999814
269521.6945640201,-3469839.4999999814
269743.51761738554,-3469905.939999983
273118.38212907745,-3468270.4199999827
269753.51761738554,-3468991.5399999833
269692.01761738554,-3469774.519999983
269692.01761738554,-3469774.519999983
269692.01761738554,-3470645.019999983
272418.88212907745,-3474257.439999983
272104.58674352797,-3481553.4399999827
272094.58674352797,-3481597.3399999826
272579.88212907745,-3481865.419999982
272579.88212907745,-3481865.419999982
269753.51761738554,-3469862.0399999833
269753.51761738554,-3469862.0399999833
272579.88212907745,-3481865.419999982
272579.88212907745,-3481865.419999982
272857.5047210214,-3482374.4799999823
272382.20933547197,-3482062.499999983
271886.5047210214,-3484219.119999983
272038.18166765594,-3469249.3199999817
273162.68166765594,-3470393.3799999817
272514.68166765594,-3475495.0199999823
272514.68166765594,-3475495.0199999823
272227.059075712,-3475029.859999982
269087.3171559641,-3475433.7799999816
272758.0047210214,-3472966.719999984
272875.20933547197,-3467914.4399999827
272708.8862821065,-3470318.0399999823
273162.68166765594,-3470393.3799999817
272582.88212907745,-3467640.4599999823
272582.88212907745,-3467640.4599999823
272875.059075712,-3469928.2199999816
272265.559075712,-3475142.9999999823
268190.01761738554,-3471257.819999983
269235.01761738554,-3469531.999999983
269539.8033621572,-3469951.5999999815
272057.58674352797,-3467887.6799999825
272623.08674352797,-3468491.419999983
273163.88212907745,-3468398.1599999834
272771.88212907745,-3484878.559999982
